"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",1.05828620897238,18227,18225,1.05826443338662,0.0104754491095252,0.010475449106214,9112.8599785052,9112.85998426616,101.026327482781,0,"natural"
"2","('A', 'E')","('en', 'en')",0.925887199177908,18363,18360,0.925868288469402,0.0104367061365403,0.0104367061340523,9180.64278159376,9180.64278597091,88.7154644338983,0,"natural"
"3","('A', 'i')","('en', 'en')",5.70906826770191,18768,18771,5.70895419812474,0.0103248296906188,0.0103248296011003,9380.67752547681,9380.67768814167,553.06561171115,0,"natural"
"4","('e', 'E')","('en', 'en')",1.08597048267423,18768,18771,1.08594878452876,0.010322670345091,0.0103226703418512,9384.60252589271,9384.60253178336,105.203248290311,0,"natural"
"5","('i', 'I')","('en', 'en')",0.751157517317861,19182,19182,0.751142831644294,0.0102110323321645,0.0102110323306965,9590.92947081667,9590.92947357442,73.5635981539761,0,"natural"
"6","('A', '{')","('en', 'en')",0.5545919368591,24,24,0.545500265763049,0.289137204635687,0.289122190593708,11.9616762575132,11.9629186233947,1.92116282421598,0.060920900923466,"synthetic"
"7","('A', 'E')","('en', 'en')",1.7753653303513,24,24,1.74626098067341,0.293375828562797,0.293224156133364,11.6185342261634,11.630556885513,6.15004590832952,2.92202245703443e-07,"synthetic"
"8","('A', 'i')","('en', 'en')",6.71399261820808,24,24,6.60392716545057,0.34994753683855,0.348124755643461,8.16571311765533,8.25144833293123,23.2579526727576,8.82331723204077e-22,"synthetic"
"9","('i', 'I')","('en', 'en')",0.694156052067642,24,24,0.682776444656697,0.28939870107016,0.289375200493958,11.940069232315,11.9420086514516,2.40462710112517,0.0202944421960563,"synthetic"
